Date,Diving,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2015-03-20,FALSE,3800,20703,15.63,23,723,207,12,111,2226
2015-03-21,FALSE,3323,15330,11.57,10,649,176,12,76,1751
2015-03-22,FALSE,2745,7037,5.31,15,772,205,11,18,1127
2015-03-23,FALSE,3936,23972,18.38,54,629,241,22,125,2536
2015-03-24,FALSE,2745,8205,6.15,62,1218,147,23,34,1079
2015-03-25,FALSE,3706,21483,16.11,39,610,197,26,105,2240
2015-03-26,FALSE,3048,11681,8.76,26,651,205,22,50,1514
2015-03-27,FALSE,3953,22373,16.78,63,635,197,39,126,2509
2015-03-28,FALSE,3369,11743,8.81,0,510,285,35,38,1908
2015-03-29,FALSE,3248,13835,10.38,23,687,356,30,12,1806
2015-03-30,FALSE,4277,25067,18.8,29,605,238,29,122,2659
2015-03-31,FALSE,2311,3056,2.29,0,354,84,3,10,442
2015-04-01,FALSE,3234,13248,9.94,29,661,339,7,8,1726
2015-04-02,FALSE,3008,12090,9.07,8,552,269,28,11,1500
2015-04-03,TRUE,3451,13223,9.92,13,613,239,148,33,2124
2015-04-04,TRUE,3285,11338,8.5,16,569,145,152,44,1863
2015-04-05,TRUE,3127,9993,7.49,17,582,136,137,34,1653
2015-04-06,FALSE,3021,8328,6.25,6,437,511,14,22,1804
2015-04-07,FALSE,2528,5380,4.04,1,940,210,0,0,854
2015-04-08,FALSE,3537,19338,14.5,71,950,160,10,107,1995
2015-04-09,FALSE,2692,10304,7.73,68,788,174,10,33,1115
2015-04-10,FALSE,3699,21314,15.99,31,686,206,15,113,2232
2015-04-11,FALSE,2701,5986,4.49,20,750,186,1,12,898
2015-04-12,FALSE,3971,20348,15.26,32,612,181,21,114,2299
2015-04-13,FALSE,3775,21074,15.81,78,678,185,17,106,2196
2015-04-14,FALSE,2831,11784,8.84,67,756,190,15,48,1280
2015-04-15,FALSE,2641,8725,6.54,62,725,200,8,19,1056
2015-04-16,FALSE,3453,19900,14.93,66,719,127,14,122,1906
2015-04-17,FALSE,3405,18760,14.07,22,686,194,15,95,1930
2015-04-18,FALSE,2743,7278,5.46,12,713,172,4,22,961
2015-04-19,FALSE,2188,2073,1.55,0,827,99,0,0,376
2015-04-20,FALSE,3418,19200,14.4,59,757,149,14,111,1901
2015-04-21,FALSE,2495,6413,4.81,21,902,142,12,14,842
2015-04-22,FALSE,3691,21594,16.2,49,660,208,21,96,2198
2015-04-23,FALSE,2832,12270,9.2,40,796,176,13,51,1260
2015-04-24,FALSE,3431,17852,13.39,88,823,135,15,103,1844
2015-04-25,FALSE,3506,16821,12.62,14,721,184,7,83,1864
2015-04-26,FALSE,4093,20538,15.4,215,652,196,13,178,2545
2015-04-27,FALSE,3682,21304,15.98,77,705,165,18,121,2130
2015-04-28,FALSE,2510,8028,6.02,76,898,124,6,27,847
2015-04-29,FALSE,3478,19312,14.48,26,749,174,16,99,1961
2015-04-30,FALSE,3003,14302,10.73,35,696,218,27,44,1482
2015-05-01,FALSE,3215,14300,10.73,11,698,131,7,80,1574
2015-05-02,FALSE,4575,30330,22.75,401,541,179,33,231,3190
2015-05-03,FALSE,2881,8180,6.14,19,532,340,1,13,1435
2015-05-04,FALSE,3437,19971,18.84,59,714,155,15,118,1943
2015-05-05,FALSE,2971,12465,9.35,45,807,242,11,37,1453
2015-05-06,FALSE,3741,21579,20.04,83,776,220,11,100,2204
2015-05-07,FALSE,2526,7962,5.97,33,819,198,4,7,936
2015-05-08,FALSE,3706,22075,20.42,54,692,191,35,119,2248
2015-05-09,FALSE,2767,5301,3.98,0,798,265,0,0,1105
2015-05-10,FALSE,2750,7096,5.32,4,503,178,8,15,962
2015-05-11,FALSE,3573,20560,19.37,77,691,168,16,114,2054
